ab	123
ba	83
bæ
ca	165
cc	94
ad	143
ae	83
af	209
bf	53
cd	126
cf	110
åd	86
ag	116
ah	84
ai	88
bg	89
bh	87
bi	102
cg	68
åg	82
åh	58
æg	126
æh
ak	100
al	140
bj	53
bl	135
ck	79
cl	88
ål	103
am	129
an	135
ao	62
bm	91
bn	64
bo	123
cm	146
cn	77
co
aq	82
ar	108
as	119
bq	64
br	88
bs	77
cr	70
år	179
ås	87
ær	67
at	204
av	120
bt	99
cv	89
æt	95
æv
aw	58
ax	78
az	93
bw	64
by	161
bz	87
cw	91
cx	74
cy	58
cz	68
da	177
db	100
då	70
ec	87
få	166
fæ	68
de	196
ee	67
ef	111
fe	85
eg	107
fi	96
dj	123
dk
dl	82
ej	122
el	128
fj	62
fk	111
fl	127
FM	109
dm	122
do	115
dø	123
en	206
fo	87
én	152
dr	136
er	206
es	106
du	143
et	195
eu	134
ét	139
dy	72
fy	58
gå	149
ha	127
hæ
ib	64
ic
gd	68
ge	96
gf	105
hf	111
id	95
ie	76
gg	99
gh	72
gi	87
ih	44
gl
hk	130
il	101
gm	100
gn	84
go	100
gø	76
hm	80
hn	77
hø	98
in	147
io	70
gp	88
gq	74
gr	111
gs	83
hp	100
hr
iq	91
ir	83
is	133
gt	97
gu	67
hu	90
it	125
gw	67
gy	58
hz	92
ja	124
la	136
lb	90
lc	77
lå	156
læ	103
ke	76
le	118
LG
kg	134
ki	92
li	92
kl
lk	77
jm	68
jo	136
km	163
kn	64
ko	102
kø	96
lo	109
jp	94
jr
kp	79
kr
lp	119
ls	82
lt	83
lu	68
kw	103
ky	53
ly	105
ma
mc	110
må	154
nb	103
nc	70
nå	136
næ	81
md	86
nf	67
od	97
ød	83
øf
mg	104
ni	137
og	214
oh	85
øg	67
øh
mk	74
ml	97
nl	80
ok	100
ol	135
øl	125
mm	141
mn	64
mø	77
nn	87
no	116
om	186
øm	76
mp	86
mq	73
ms	121
np	79
nr
op	170
os	135
ør	78
øs	62
mt	58
mu	70
nu	165
øv
mw	103
mx	81
my	112
ny	158
nz	53
pa	82
pc	114
på	201
rå	118
sb	95
sc	110
så	176
pe	79
pf	78
re	111
sd	95
se	154
pg	86
ph
pi	88
ri	62
sg	101
si	94
pk	75
pl	94
sk	106
sl	95
pm	92
pn	72
ro	121
sm	92
sn	85
so	107
sø	129
QQ
pr
ps	89
rs	89
sr	73
ss	126
ru	108
st	88
su	91
sv	110
pw	58
py	53
rw	64
ry	124
sy	91
sz	64
tb
tc	85
tå	91
ua	70
va	78
vc	81
te	115
tf
ud	171
uf	67
ve	108
tg	64
th
ti	138
ug	68
uh	44
vg	82
vi
tj	73
tk	78
tl	68
uk	113
tm	88
tn	53
to	177
tø	79
vn	62
tr	81
ur	108
us	125
tt	81
tv	141
vu	93
ty	113
tz	58
wc	87
wf	53
yd	58
ws	62
yp
yt	64
zw	53
.ac
.ba
.bb
.ca
.cc
.ad
.ae
.af
.bd
.be
.bf
.cd
.cf
.ag
.ai
.bg
.bh
.bi
.cg
.ch
.ci
.al
.bj
.ck
.cl
.am
.ao
.bm
.bn
.bo
.cm
.cn
.co
.aq
.ar
.as
.bq
.br
.bs
.cr
.at
.au
.bt
.cu
.cv
.aw
.ax
.az
.bw
.by
.bz
.cw
.cx
.cy
.cz
.ec
.de
.ee
.eg
.eh
.fi
.dj
.dk
.fj
.fk
.dm
.do
.fm
.fo
.er
.es
.fr
.et
.eu
.dz
.ga
.gd
.ge
.gf
.id
.ie
.gg
.gh
.gi
.gl
.hk
.il
.gm
.gn
.hm
.hn
.im
.in
.io
.gp
.gq
.gr
.gs
.hr
.iq
.ir
.is
.gt
.gu
.ht
.hu
.it
.gw
.gy
.la
.lb
.lc
.je
.ke
.kg
.kh
.ki
.li
.lk
.jm
.jo
.km
.kn
.jp
.kp
.kr
.lr
.ls
.lt
.lu
.lv
.kw
.ky
.kz
.ly
.ma
.mc
.na
.nc
.md
.me
.ne
.nf
.mg
.mh
.ng
.ni
.mk
.ml
.nl
.mm
.mn
.mo
.no
.om
.mp
.mq
.mr
.ms
.np
.nr
.mt
.mu
.mv
.nu
.mw
.mx
.my
.mz
.nz
.pa
.qa
.sa
.sb
.sc
.pe
.pf
.re
.sd
.se
.pg
.ph
.sg
.sh
.si
.pk
.pl
.sk
.sl
.pm
.pn
.ro
.sm
.sn
.so
.pr
.ps
.rs
.sr
.ss
.pt
.ru
.st
.su
.sv
.pw
