AB	96
CA	101
ac	114
ba
bb	83
bc	99
ča	98
AF	74
CD	126
CE	109
be
će	173
če	90
AG	105
CH	90
ah	87
ai	108
bh	92
bi	178
cg	66
ci	86
AK	86
Al	112
CK	113
Cl	61
aj	98
bl
čl	95
BN
bo
cm	144
co	86
AP	106
BP	87
ar	93
as	111
br	125
cp	95
AV	103
at	123
bu	85
cu	74
ću	122
ču	52
az	85
DC	114
EC	91
dB	87
da	194
fc	128
DE
Ed	90
dd	72
ff	82
đe
DG
DH
di	133
eh	76
fi	90
EK	74
FL	84
dj
ej	82
el	111
EN	120
FM	100
dm
do	185
em	100
EP	128
ES	101
FP
Fr	110
dr	148
er	96
EU	127
ev	90
ft	85
fu	82
fv
EZ	78
dx
HB	94
IC	101
ga	176
gb	100
ha	124
HD	105
HE	97
HF	86
ID	92
II
hi	83
ih	168
gl	91
hl	72
HO	82
Io	82
go	93
hm	89
im	162
in
GP	98
HP	107
HR	113
HS	84
IP	114
IR	89
IS
gr	103
iš
GT	105
HT	78
HV	114
gu	72
hu	78
it	112
iv
GZ
Hz	91
HŽ	108
IX
iz	188
LC	69
ja	134
ka	130
kb	91
la	133
lb	79
jd	81
je	216
ke	92
LG	86
ji	92
kg	137
ki	103
li	150
kk	123
km	163
kn	116
lm	61
ln
LS	86
kr	139
ks	126
lp	113
LU	78
ju	154
kV	98
ku
lt	66
KZ	66
kw	119
lx
MB	104
MC	96
NA	203
ma	111
MF
NF	84
me	133
ne	177
od	198
Mg	122
NH	78
OH	79
OI	133
mh	93
mi	137
ni	156
MK	61
NK	149
mj	82
ml	108
nl	72
oj	61
ok	97
NN	97
mo	81
nm	107
no	164
om	90
on	163
MP	82
MS	100
NP	104
OŠ	108
mr	100
nr	107
ns	103
op	104
os	121
MT	61
NV	83
mV	83
mu	172
ot	76
ou	93
OZ	66
mw	112
mz	99
ow
PB	98
PC	118
Ra	86
SB	87
pa	170
sa	185
sc	114
PE	97
SD	103
pd	79
re	112
se	206
RH	132
pH	110
pi	89
si	135
RK	117
pl
sk	106
sl	135
PM	66
PN	76
SO	99
po	179
rm	94
rn	83
sn	93
PP	93
PS	76
QQ
QR
RS	108
SP	123
SR	127
SS	124
PU	61
pv	86
rt	114
ru	84
st
su	202
sv
št
RW	79
pz	91
rx	69
TB	78
ta	148
va	90
vb	79
te	186
ud	91
uf
ve	102
UI	76
ti	138
uh
vi	133
UK	120
tj	153
vj	66
vl	69
TM	93
UN
to	177
um	118
uo	52
vo
TP
US	115
VP
tr	87
ur	86
uš	79
vs	99
TT	91
TV	139
UV	101
VU	89
